Source,Date,PO,Client,Route,Aircraft,Tail,Operator,Pay Terms,Client Invoiced,Operator Paid,Margin,Funded By,Deposited To,Check/Deposit #,Jonny Profits,Jonny Invested,Jonny Owed,Jonny Returned,Client Paid?,OnFly Paid?,Investor Paid?,Operator Paid?,Bill in QB?,Referral,Referral Paid?
Live,2026-07-16,PO #00338,PSA Airlines,KSAV → KHOU,Barron,N4380W,Axio,Net 30,13100,11713,1387,Jonny 1%,,,117.13,11713,11830.13,0,No,No,No,No,No,,No
Live,2026-07-13,PO #00337,PSA Airlines,KGSP → KJAX,Baron 58,N4380W,Axio,Net 30,7700,5733,1967,Jonny 1%,,,57.33,5733,5790.33,0,No,No,No,Yes,No,,No
Live,2026-07-12,PO #00335,PSA Airlines,KGSP → KPHL,C90,N643EA,EXECUTIVE SHUTTLE,Net 30,10400,9195.14,1204.8600000000006,Jonny 1%,,,91.95139999999999,9195.14,9287.0914,0,No,No,No,Yes,No,,No
Live,2026-07-12,PO #00336,PSA Airlines,KDFW → KIAD,King Air 200,N34LT,Axio,Net 30,28750,26695,2055,Jonny 1%,,,266.95,26695,26961.95,0,No,No,No,Yes,No,,No
Live,2026-07-10,PO #00602,Trans North,KMSY → KTEB,XLS,N817EG,ENG Aviation,Net 30,45000,40292,4708,Jonny 1%,,,402.92,40292,40694.92,0,No,No,No,Yes,No,,No
Live,2026-07-10,PO #00334,PSA Airlines,KGSP → KBGR,C90,N643EA,EXECUTIVE SHUTTLE,Net 30,14400,13351.35,1048.6499999999996,Jonny 1%,,,133.5135,13351.35,13484.8635,0,No,No,No,Yes,No,,No
Live,2026-07-09,PO #00333,PSA Airlines,KCLT → KBTV,Barron,N4380W,Axio,Net 30,10575,9179,1396,Jonny 1%,,,91.79,9179,9270.79,0,No,No,No,Yes,No,,No
Live,2026-07-08,PO #VG070804,Piedmont Airlines,KROA → KGNV → KROA,C90,N643EA,EXECUTIVE SHUTTLE,Net 30,12600,11031.35,1568.6499999999996,Jonny 1%,,,110.3135,11031.35,11141.6635,0,No,No,No,Yes,No,,No
Live,2026-07-06,PO #00332,PSA Airlines,KORF → KBDL,C310,N4258C,"Sonrise Aviation, LLC",Net 30,8600,7484.35,1115.6499999999996,Jonny 1%,,,74.8435,7484.35,7559.1935,0,No,No,No,Yes,No,,No
Live,2026-07-04,PO #00331,PSA Airlines,KGSP → KXNA,Barron,WILL SEND ,Axio,Net 30,9800,8271,1529,Jonny 1%,,,82.71000000000001,8271,8353.71,0,No,No,No,Yes,No,,No
Live,2026-07-03,PO #00330,PSA Airlines,KCVG → KBDL,C310,N6209X,Miller Aviation,Net 30,8600,7644.35,955.6499999999996,Jonny 1%,,,76.4435,7644.35,7720.793500000001,0,No,No,No,Yes,No,,No
Live,2026-07-03,PO #00329,PSA Airlines,KDAY → KCAK,Aerostar,N49MG,Castle Aviation,Net 30,6500,5350,1150,Jonny 1%,,,53.5,5350,5403.5,0,No,No,No,Yes,No,,No
Live,2026-07-02,PO #00327,PSA Airlines,KPHL → KMSN,King Air 90,N825SD,"ACE TRANSPORT SERVICE, INC.",Net 30,21000,18460,2540,Jonny 1%,,,184.6,18460,18644.6,0,No,No,No,Yes,No,,No
Live,2026-07-02,PO #00328,PSA Airlines,KCAK → KALB,Aerostar,N52MG,Castle Aviation,Net 30,5600,4312.25,1287.75,Jonny 1%,,,43.1225,4312.25,4355.3725,0,No,No,No,Yes,No,,No
Live,2026-07-02,PO #00326,PSA Airlines,KDAY → KPHL,DA-42,N433J,Contrail - Charlie,Net 30,3500,2130,1370,Jonny 1%,,,21.3,2130,2151.3,0,No,No,No,Yes,No,,No
Live,2026-07-02,PO #00325,PSA Airlines,KHPN → KDAY,DA-42,N443J,Contrail - Charlie,Net 30,8500,7450,1050,Jonny 1%,,,74.5,7450,7524.5,0,No,No,No,Yes,No,,No
Live,2026-07-01,PO #00324,PSA Airlines,KDAY → KMSN,C310,N6209X,Miller Aviation,Net 30,5800,4100,1700,Jonny 1%,,,41,4100,4141,0,No,No,No,Yes,No,,No
Live,2026-06-30,PO #00323,PSA Airlines,KDAY → KHPN,C310,N6209X,Miller Aviation,Net 30,8100,6713.9,1386.1000000000004,Jonny 1%,,,67.139,6713.9,6781.039,0,No,No,No,Yes,No,,No
Live,2026-06-27,PO #00322,PSA Airlines,KCAK → KBUF,C310,N4258C,"Sonrise Aviation, LLC",Net 30,5800,4469.78,1330.2200000000003,Jonny 1%,,,44.6978,4469.78,4514.4778,0,No,No,No,Yes,No,,No
Live,2026-06-15,PO #00321,PSA Airlines,KCAK → KHPN,C310,N6209X,"MILLER AVIATION, LLC",Net 30,8300,7708.75,591.25,Jonny 1%,OFA Biz Acct,PSA ACH #403805,77.0875,7708.75,0,7785.8375,Yes,No,Yes,Yes,No,,No
Live,2026-06-14,PO #00320,PSA Airlines,KDAY → KMSN,C310,N5336C,Miller Aviation,Net 30,6000,4200,1800,Jonny 1%,OFA Biz Acct,PSA ACH #403805,42,4200,0,4242,Yes,No,Yes,Yes,No,,No
Live,2026-06-13,PO #00319,PSA Airlines,KCVG → KDAY → KMSN,C310,N6209X,MILLER AVIATION LLC,Net 30,6400,4600,1800,Jonny 1%,OFA Biz Acct,PSA ACH #403701,46,4600,0,4646,Yes,No,Yes,Yes,No,,No
